,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Al Horford,Baby,2016-11-27,Pre,2,2016-10-27,-31,BOS,@,CHI,L (-6),1,30:03,4.0,9.0,0.444,0.0,2.0,0.0,3.0,4.0,0.75,0.0,7.0,7.0,5.0,0.0,1.0,1.0,5.0,11.0,9.2,-3.0,108,109,105.1,111.5
1,Al Horford,Baby,2016-11-27,Pre,3,2016-10-29,-29,BOS,@,CHO,W (+6),1,31:11,6.0,10.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,3.0,0.0,2.0,1.0,2.0,14.0,11.9,11.0,120,104,110.0,103.6
2,Al Horford,Baby,2016-11-27,Pre,13,2016-11-19,-8,BOS,@,DET,W (+2),1,33:45,7.0,12.0,0.583,2.0,3.0,0.667,2.0,2.0,1.0,2.0,9.0,11.0,5.0,2.0,3.0,1.0,2.0,18.0,22.3,17.0,140,94,109.1,106.8
3,Al Horford,Baby,2016-11-27,Pre,14,2016-11-21,-6,BOS,@,MIN,W (+6),1,36:03,9.0,20.0,0.45,2.0,7.0,0.28600000000000003,0.0,0.0,,4.0,2.0,6.0,5.0,1.0,3.0,0.0,2.0,20.0,18.8,10.0,118,100,105.9,99.5
4,Al Horford,Baby,2016-11-27,Pre,15,2016-11-23,-4,BOS,@,BRK,W (+19),1,30:24,7.0,12.0,0.583,3.0,4.0,0.75,0.0,0.0,,1.0,4.0,5.0,8.0,1.0,2.0,2.0,2.0,17.0,18.5,21.0,138,91,109.1,90.5
5,Al Horford,Baby,2016-11-27,Pre,16,2016-11-25,-2,BOS,,SAS,L (-6),1,35:27,6.0,13.0,0.462,0.0,3.0,0.0,0.0,0.0,,2.0,8.0,10.0,4.0,0.0,3.0,3.0,3.0,12.0,9.8,0.0,89,113,110.4,116.9
6,Al Horford,Baby,2016-11-27,Post,18,2016-11-30,3,BOS,,DET,L (-7),1,31:39,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,1.0,2.0,9.0,10.6,-9.0,143,129,122.9,130.5
7,Al Horford,Baby,2016-11-27,Post,19,2016-12-02,5,BOS,,SAC,W (+5),1,35:32,10.0,18.0,0.556,4.0,7.0,0.5710000000000001,2.0,2.0,1.0,2.0,6.0,8.0,3.0,2.0,6.0,1.0,2.0,26.0,27.1,9.0,133,89,102.6,97.3
8,Al Horford,Baby,2016-11-27,Post,20,2016-12-03,6,BOS,@,PHI,W (+1),1,33:46,4.0,10.0,0.4,1.0,3.0,0.33299999999999996,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,11.0,7.8,-9.0,103,117,116.8,115.7
9,Al Horford,Baby,2016-11-27,Post,21,2016-12-05,8,BOS,@,HOU,L (-1),1,34:49,9.0,22.0,0.409,1.0,5.0,0.2,2.0,2.0,1.0,1.0,5.0,6.0,9.0,1.0,2.0,4.0,3.0,21.0,14.9,-7.0,94,105,106.7,107.7
10,Al Horford,Baby,2016-11-27,Post,22,2016-12-07,10,BOS,@,ORL,W (+30),1,29:23,3.0,9.0,0.33299999999999996,0.0,3.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,8.0,0.0,2.0,0.0,2.0,10.0,13.3,31.0,132,93,125.4,93.2
11,Al Horford,Baby,2016-11-27,Post,23,2016-12-09,12,BOS,,TOR,L (-7),1,31:34,5.0,14.0,0.35700000000000004,3.0,8.0,0.375,6.0,9.0,0.667,1.0,6.0,7.0,6.0,0.0,1.0,4.0,2.0,19.0,12.6,-9.0,98,107,98.6,105.9
