,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Carmelo Anthony,Baby,2007-03-07,Pre,32,2007-02-07,-28,DEN,,NOK,L (-2),1,40:33,9.0,23.0,0.391,0.0,2.0,0.0,9.0,9.0,1.0,0.0,9.0,9.0,6.0,0.0,2.0,1.0,4.0,27.0,20.2,-9.0,114,108,107.6,109.5
1,Carmelo Anthony,Baby,2007-03-07,Pre,33,2007-02-09,-26,DEN,@,IND,W (+7),1,45:23,11.0,24.0,0.45799999999999996,0.0,2.0,0.0,12.0,13.0,0.9229999999999999,2.0,4.0,6.0,5.0,0.0,0.0,5.0,2.0,34.0,21.5,16.0,113,109,110.2,102.7
2,Carmelo Anthony,Baby,2007-03-07,Pre,34,2007-02-10,-25,DEN,@,MIL,W (+7),1,43:32,13.0,28.0,0.46399999999999997,1.0,4.0,0.25,2.0,4.0,0.5,3.0,5.0,8.0,10.0,3.0,0.0,2.0,2.0,29.0,24.6,8.0,115,108,117.0,109.5
3,Carmelo Anthony,Baby,2007-03-07,Pre,35,2007-02-12,-23,DEN,,GSW,W (+12),1,30:51,12.0,25.0,0.48,0.0,2.0,0.0,4.0,5.0,0.8,4.0,4.0,8.0,5.0,0.0,1.0,5.0,4.0,28.0,16.5,7.0,107,116,126.2,113.9
4,Carmelo Anthony,Baby,2007-03-07,Pre,36,2007-02-14,-21,DEN,@,MIN,L (-5),1,45:08,10.0,21.0,0.47600000000000003,0.0,2.0,0.0,8.0,10.0,0.8,1.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,28.0,16.3,-8.0,103,117,105.7,111.3
5,Carmelo Anthony,Baby,2007-03-07,Pre,37,2007-02-20,-15,DEN,@,SAS,L (-15),1,29:03,6.0,15.0,0.4,0.0,0.0,,3.0,4.0,0.75,4.0,4.0,8.0,0.0,0.0,1.0,4.0,3.0,15.0,6.0,-19.0,82,111,91.8,109.0
6,Carmelo Anthony,Baby,2007-03-07,Pre,38,2007-02-23,-12,DEN,,UTA,L (-10),1,37:14,12.0,18.0,0.667,1.0,2.0,0.5,11.0,13.0,0.846,1.0,3.0,4.0,6.0,1.0,1.0,7.0,5.0,36.0,25.9,-7.0,122,116,104.7,114.7
7,Carmelo Anthony,Baby,2007-03-07,Pre,39,2007-02-24,-11,DEN,@,DAL,L (-20),1,41:17,14.0,23.0,0.609,0.0,0.0,,6.0,8.0,0.75,0.0,6.0,6.0,3.0,3.0,0.0,7.0,4.0,34.0,21.0,-8.0,98,109,91.0,110.1
8,Carmelo Anthony,Baby,2007-03-07,Pre,40,2007-02-26,-9,DEN,@,MEM,W (+4),1,42:19,13.0,25.0,0.52,1.0,1.0,1.0,6.0,7.0,0.857,3.0,3.0,6.0,3.0,1.0,0.0,6.0,1.0,33.0,20.0,5.0,105,114,113.9,109.8
9,Carmelo Anthony,Baby,2007-03-07,Pre,41,2007-02-28,-7,DEN,,ORL,W (+10),1,36:57,8.0,19.0,0.42100000000000004,0.0,2.0,0.0,7.0,8.0,0.875,2.0,4.0,6.0,2.0,2.0,0.0,3.0,4.0,23.0,13.9,8.0,100,104,112.2,102.1
