,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Carmelo Anthony,Engage,2004-12-25,Pre,12,2004-11-26,-29,DEN,,SAS,L (-14),1,39:00,9.0,22.0,0.409,0.0,1.0,0.0,6.0,9.0,0.667,4.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,24.0,16.4,-10.0,110,107,85.1,101.0
1,Carmelo Anthony,Engage,2004-12-25,Pre,13,2004-11-27,-28,DEN,@,HOU,W (+6),1,25:00,3.0,14.0,0.214,0.0,1.0,0.0,2.0,3.0,0.667,2.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,2.0,12.0,69,94,94.8,87.9
2,Carmelo Anthony,Engage,2004-12-25,Pre,14,2004-12-02,-23,DEN,,CLE,L (-19),1,29:00,6.0,20.0,0.3,0.0,1.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,0.0,0.0,1.0,5.0,2.0,14.0,-1.9,-16.0,57,104,80.6,101.6
3,Carmelo Anthony,Engage,2004-12-25,Pre,15,2004-12-04,-21,DEN,,MIA,W (+9),1,39:00,12.0,19.0,0.632,0.0,3.0,0.0,4.0,5.0,0.8,1.0,3.0,4.0,5.0,4.0,0.0,6.0,2.0,28.0,21.4,2.0,104,93,103.5,94.6
4,Carmelo Anthony,Engage,2004-12-25,Pre,16,2004-12-06,-19,DEN,,ORL,W (+13),1,38:00,10.0,18.0,0.556,0.0,1.0,0.0,8.0,10.0,0.8,2.0,1.0,3.0,4.0,1.0,0.0,2.0,2.0,28.0,21.3,7.0,131,108,116.9,103.7
5,Carmelo Anthony,Engage,2004-12-25,Pre,17,2004-12-08,-17,DEN,@,WAS,W (+6),1,36:00,8.0,16.0,0.5,1.0,3.0,0.33299999999999996,6.0,7.0,0.857,0.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,23.0,16.0,2.0,123,112,117.2,110.9
6,Carmelo Anthony,Engage,2004-12-25,Pre,18,2004-12-10,-15,DEN,@,TOR,W (+14),1,37:00,9.0,18.0,0.5,0.0,0.0,,10.0,15.0,0.667,1.0,7.0,8.0,9.0,1.0,0.0,4.0,3.0,28.0,21.9,24.0,112,90,102.2,88.1
7,Carmelo Anthony,Engage,2004-12-25,Pre,19,2004-12-12,-13,DEN,@,NYK,L (-11),1,44:00,7.0,23.0,0.304,0.0,2.0,0.0,12.0,16.0,0.75,1.0,7.0,8.0,3.0,0.0,0.0,7.0,2.0,26.0,8.2,-6.0,83,115,101.1,112.7
8,Carmelo Anthony,Engage,2004-12-25,Pre,20,2004-12-14,-11,DEN,@,PHI,L (-8),1,43:00,8.0,18.0,0.444,2.0,3.0,0.667,11.0,12.0,0.917,4.0,1.0,5.0,4.0,2.0,0.0,4.0,4.0,29.0,21.5,-8.0,121,121,109.8,118.4
9,Carmelo Anthony,Engage,2004-12-25,Pre,21,2004-12-15,-10,DEN,@,BOS,W (+1),1,39:00,8.0,20.0,0.4,3.0,6.0,0.5,6.0,7.0,0.857,2.0,8.0,10.0,3.0,0.0,1.0,4.0,5.0,25.0,14.4,-13.0,101,105,104.3,103.3
10,Carmelo Anthony,Engage,2004-12-25,Pre,22,2004-12-17,-8,DEN,@,MIA,L (-7),1,29:00,6.0,13.0,0.462,1.0,3.0,0.33299999999999996,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0,2.0,14.0,5.1,-2.0,83,116,105.4,112.8
11,Carmelo Anthony,Engage,2004-12-25,Post,23,2004-12-31,6,DEN,,PHI,W (+5),1,42:00,9.0,25.0,0.36,2.0,4.0,0.5,4.0,6.0,0.667,2.0,6.0,8.0,4.0,2.0,1.0,3.0,2.0,24.0,14.2,11.0,92,94,97.0,92.0
12,Carmelo Anthony,Engage,2004-12-25,Post,24,2005-01-02,8,DEN,@,LAL,L (-8),1,39:00,7.0,21.0,0.33299999999999996,0.0,2.0,0.0,13.0,14.0,0.929,0.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,27.0,19.6,2.0,115,101,94.2,102.5
13,Carmelo Anthony,Engage,2004-12-25,Post,25,2005-01-03,9,DEN,,LAC,L (-4),1,39:00,6.0,21.0,0.28600000000000003,2.0,8.0,0.25,7.0,8.0,0.875,3.0,3.0,6.0,2.0,0.0,2.0,3.0,5.0,21.0,9.1,-11.0,88,118,108.6,113.0
14,Carmelo Anthony,Engage,2004-12-25,Post,26,2005-01-08,14,DEN,@,SAS,L (-9),1,33:00,4.0,15.0,0.267,0.0,3.0,0.0,0.0,0.0,,3.0,2.0,5.0,5.0,0.0,0.0,4.0,4.0,8.0,-0.3,-24.0,65,118,102.4,112.6
15,Carmelo Anthony,Engage,2004-12-25,Post,27,2005-01-09,15,DEN,,HOU,L (-18),1,40:00,7.0,20.0,0.35,2.0,6.0,0.33299999999999996,11.0,13.0,0.846,2.0,5.0,7.0,3.0,0.0,0.0,4.0,2.0,27.0,15.2,-14.0,101,128,104.5,123.7
16,Carmelo Anthony,Engage,2004-12-25,Post,28,2005-01-11,17,DEN,@,SAC,L (-9),1,41:00,4.0,14.0,0.28600000000000003,0.0,4.0,0.0,8.0,11.0,0.727,0.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,16.0,9.0,-3.0,99,115,104.5,113.9
17,Carmelo Anthony,Engage,2004-12-25,Post,29,2005-01-12,18,DEN,,LAL,W (+12),1,28:00,7.0,14.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,17.0,11.0,2.0,107,92,105.6,92.3
18,Carmelo Anthony,Engage,2004-12-25,Post,30,2005-01-14,20,DEN,,MIN,L (-10),1,33:00,5.0,18.0,0.278,0.0,2.0,0.0,3.0,5.0,0.6,1.0,4.0,5.0,4.0,0.0,0.0,3.0,4.0,13.0,1.7,-9.0,67,115,97.6,109.3
19,Carmelo Anthony,Engage,2004-12-25,Post,31,2005-01-17,23,DEN,@,GSW,L (-10),1,46:00,8.0,18.0,0.444,2.0,3.0,0.667,6.0,6.0,1.0,2.0,6.0,8.0,0.0,1.0,0.0,3.0,3.0,24.0,14.6,-8.0,110,115,103.4,114.0
20,Carmelo Anthony,Engage,2004-12-25,Post,32,2005-01-18,24,DEN,@,SEA,W (+6),1,32:00,3.0,11.0,0.273,0.0,3.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,10.0,7.5,6.0,96,114,118.6,112.5
21,Carmelo Anthony,Engage,2004-12-25,Post,33,2005-01-23,29,DEN,@,DAL,L (-2),1,37:00,6.0,13.0,0.462,1.0,2.0,0.5,1.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,3.0,14.0,6.1,-16.0,93,114,106.7,109.0
22,Carmelo Anthony,Engage,2004-12-25,Post,34,2005-01-25,31,DEN,@,CHI,L (-4),1,41:00,11.0,20.0,0.55,2.0,5.0,0.4,8.0,9.0,0.889,2.0,4.0,6.0,3.0,1.0,0.0,3.0,2.0,32.0,23.9,1.0,121,117,108.7,112.8
