,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Charlie Villanueva,Baby,2015-11-18,Pre,1,2015-10-28,-21,DAL,@,PHO,W (+16),0,14:39,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,7.2,4.0,180,98,108.9,93.2
1,Charlie Villanueva,Baby,2015-11-18,Pre,2,2015-10-29,-20,DAL,@,LAC,L (-16),0,23:00,3.0,11.0,0.273,0.0,6.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,-4.0,64,105,88.5,104.6
2,Charlie Villanueva,Baby,2015-11-18,Pre,3,2015-11-01,-17,DAL,@,LAL,W (+10),0,11:56,1.0,6.0,0.16699999999999998,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,0.4,3.0,62,94,106.4,96.1
3,Charlie Villanueva,Baby,2015-11-18,Pre,4,2015-11-03,-15,DAL,,TOR,L (-11),0,4:55,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.2,-7.0,108,107,94.9,106.4
4,Charlie Villanueva,Baby,2015-11-18,Pre,5,2015-11-05,-13,DAL,,CHO,L (-14),0,12:50,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,,1.0,6.0,7.0,0.0,1.0,0.0,2.0,1.0,7.0,3.7,-4.0,70,100,96.4,110.8
5,Charlie Villanueva,Baby,2015-11-18,Pre,7,2015-11-10,-8,DAL,@,NOP,L (-15),0,26:28,6.0,14.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,9.0,9.0,2.0,0.0,1.0,1.0,1.0,15.0,11.0,-9.0,99,115,103.5,118.3
6,Charlie Villanueva,Baby,2015-11-18,Pre,8,2015-11-11,-7,DAL,,LAC,W (+10),0,12:03,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.6,0.0,113,116,125.4,114.8
7,Charlie Villanueva,Baby,2015-11-18,Pre,9,2015-11-13,-5,DAL,,LAL,W (+8),0,14:20,2.0,6.0,0.33299999999999996,2.0,6.0,0.33299999999999996,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,3.2,8.0,84,86,90.5,82.4
8,Charlie Villanueva,Baby,2015-11-18,Pre,10,2015-11-14,-4,DAL,@,HOU,W (+12),1,25:25,8.0,16.0,0.5,3.0,7.0,0.429,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,3.0,2.0,4.0,19.0,12.5,4.0,107,101,113.7,101.3
9,Charlie Villanueva,Baby,2015-11-18,Pre,11,2015-11-16,-2,DAL,@,PHI,W (+6),0,8:15,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.8,14.0,81,90,90.9,84.9
