,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Dirk Nowitzki,Baby,2015-03-24,Pre,59,2015-02-24,-28,DAL,,TOR,W (+7),1,33:17,7.0,18.0,0.389,2.0,5.0,0.4,2.0,2.0,1.0,0.0,9.0,9.0,1.0,1.0,0.0,1.0,0.0,18.0,11.6,10.0,97,96,102.3,95.1
1,Dirk Nowitzki,Baby,2015-03-24,Pre,60,2015-02-25,-27,DAL,@,ATL,L (-17),1,24:33,2.0,7.0,0.28600000000000003,0.0,3.0,0.0,0.0,0.0,,0.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,4.0,3.4,-21.0,88,115,97.7,116.8
2,Dirk Nowitzki,Baby,2015-03-24,Pre,61,2015-02-28,-24,DAL,,BRK,L (-10),1,30:36,8.0,14.0,0.5710000000000001,2.0,5.0,0.4,2.0,3.0,0.667,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,20.0,16.6,-7.0,134,121,104.1,115.1
3,Dirk Nowitzki,Baby,2015-03-24,Pre,62,2015-03-02,-22,DAL,,NOP,W (+9),1,31:28,5.0,13.0,0.385,3.0,5.0,0.6,1.0,1.0,1.0,0.0,8.0,8.0,0.0,1.0,2.0,0.0,3.0,14.0,10.5,15.0,114,105,124.0,113.0
4,Dirk Nowitzki,Baby,2015-03-24,Pre,63,2015-03-05,-19,DAL,@,POR,L (-19),1,27:09,5.0,13.0,0.385,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,10.0,2.9,-24.0,68,98,77.1,96.7
5,Dirk Nowitzki,Baby,2015-03-24,Pre,64,2015-03-06,-18,DAL,@,GSW,L (-15),1,26:58,5.0,16.0,0.313,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,14.0,4.3,-13.0,79,112,86.9,101.6
6,Dirk Nowitzki,Baby,2015-03-24,Pre,65,2015-03-08,-16,DAL,@,LAL,W (+7),1,26:53,5.0,12.0,0.41700000000000004,2.0,5.0,0.4,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,12.0,8.0,-1.0,105,105,113.2,105.3
7,Dirk Nowitzki,Baby,2015-03-24,Pre,66,2015-03-10,-14,DAL,,CLE,L (-33),1,28:57,3.0,10.0,0.3,1.0,3.0,0.33299999999999996,6.0,7.0,0.857,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,13.0,7.6,-24.0,101,132,97.9,132.2
8,Dirk Nowitzki,Baby,2015-03-24,Pre,67,2015-03-13,-11,DAL,,LAC,W (+30),1,24:32,5.0,9.0,0.556,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,12.0,30.0,158,112,141.1,108.3
9,Dirk Nowitzki,Baby,2015-03-24,Pre,68,2015-03-16,-8,DAL,,OKC,W (+4),1,27:10,8.0,18.0,0.444,4.0,7.0,0.5710000000000001,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,22.0,13.6,5.0,115,112,112.2,108.4
10,Dirk Nowitzki,Baby,2015-03-24,Pre,69,2015-03-18,-6,DAL,,ORL,W (+5),1,30:42,9.0,15.0,0.6,5.0,6.0,0.833,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,0.0,1.0,2.0,25.0,20.5,1.0,142,105,108.0,103.0
11,Dirk Nowitzki,Baby,2015-03-24,Pre,70,2015-03-20,-4,DAL,,MEM,L (-11),1,30:21,4.0,14.0,0.28600000000000003,1.0,2.0,0.5,7.0,8.0,0.875,1.0,5.0,6.0,1.0,0.0,0.0,0.0,6.0,16.0,7.9,-22.0,106,117,102.9,114.1
12,Dirk Nowitzki,Baby,2015-03-24,Pre,71,2015-03-22,-2,DAL,@,PHO,L (-6),1,33:18,5.0,10.0,0.5,1.0,3.0,0.33299999999999996,0.0,0.0,,0.0,7.0,7.0,4.0,2.0,0.0,1.0,1.0,11.0,11.5,-8.0,111,98,95.2,101.4
13,Dirk Nowitzki,Baby,2015-03-24,Pre,72,2015-03-24,0,DAL,,SAS,W (+7),1,30:52,6.0,16.0,0.375,1.0,3.0,0.33299999999999996,2.0,2.0,1.0,3.0,10.0,13.0,3.0,0.0,0.0,1.0,1.0,15.0,12.0,15.0,103,95,103.3,96.1
14,Dirk Nowitzki,Baby,2015-03-24,Post,73,2015-03-27,3,DAL,@,SAS,L (-18),1,28:42,3.0,9.0,0.33299999999999996,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,4.0,7.0,3.9,-4.0,85,107,84.8,104.8
15,Dirk Nowitzki,Baby,2015-03-24,Post,74,2015-03-29,5,DAL,@,IND,L (-5),1,33:42,7.0,13.0,0.5379999999999999,1.0,1.0,1.0,4.0,5.0,0.8,0.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,19.0,10.6,-7.0,109,109,100.8,105.9
16,Dirk Nowitzki,Baby,2015-03-24,Post,75,2015-04-01,8,DAL,@,OKC,W (+4),1,32:04,8.0,17.0,0.47100000000000003,2.0,5.0,0.4,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,18.0,11.2,0.0,100,135,134.1,130.1
17,Dirk Nowitzki,Baby,2015-03-24,Post,76,2015-04-02,9,DAL,,HOU,L (-7),1,31:31,7.0,11.0,0.636,2.0,3.0,0.667,5.0,6.0,0.833,1.0,6.0,7.0,0.0,1.0,0.0,1.0,3.0,21.0,17.0,2.0,141,109,104.6,111.8
18,Dirk Nowitzki,Baby,2015-03-24,Post,77,2015-04-04,11,DAL,,GSW,L (-13),1,23:06,3.0,5.0,0.6,0.0,0.0,,12.0,15.0,0.8,0.0,4.0,4.0,2.0,0.0,1.0,2.0,4.0,18.0,14.2,-5.0,141,117,104.5,116.8
19,Dirk Nowitzki,Baby,2015-03-24,Post,78,2015-04-08,15,DAL,,PHO,W (+3),1,30:41,7.0,15.0,0.467,1.0,4.0,0.25,4.0,5.0,0.8,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,19.0,11.4,13.0,118,116,116.9,113.6
20,Dirk Nowitzki,Baby,2015-03-24,Post,79,2015-04-10,17,DAL,@,DEN,W (+1),1,37:34,10.0,19.0,0.526,0.0,3.0,0.0,5.0,5.0,1.0,0.0,9.0,9.0,4.0,1.0,3.0,2.0,2.0,25.0,21.5,16.0,116,112,120.0,119.2
21,Dirk Nowitzki,Baby,2015-03-24,Post,80,2015-04-12,19,DAL,@,LAL,W (+14),1,28:54,5.0,10.0,0.5,2.0,4.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,16.0,11.1,18.0,115,111,122.8,108.5
22,Dirk Nowitzki,Baby,2015-03-24,Post,82,2015-04-15,22,DAL,,POR,W (+16),1,27:21,5.0,14.0,0.35700000000000004,2.0,6.0,0.33299999999999996,4.0,4.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,2.0,16.0,7.9,16.0,96,96,111.3,95.7
