,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Dirk Nowitzki,Engage,2012-02-14,Pre,13,2012-01-14,-31,DAL,,SAC,W (+39),1,20:25,6.0,14.0,0.429,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,14.0,8.7,4.0,103,66,106.7,64.7
1,Dirk Nowitzki,Engage,2012-02-14,Pre,14,2012-01-16,-29,DAL,@,LAL,L (-3),1,32:35,8.0,17.0,0.47100000000000003,0.0,1.0,0.0,5.0,6.0,0.833,1.0,6.0,7.0,1.0,0.0,0.0,3.0,1.0,21.0,11.7,0.0,96,87,79.3,82.6
2,Dirk Nowitzki,Engage,2012-02-14,Pre,15,2012-01-18,-27,DAL,@,LAC,L (-2),1,33:21,6.0,18.0,0.33299999999999996,3.0,6.0,0.5,2.0,2.0,1.0,0.0,7.0,7.0,1.0,1.0,3.0,2.0,4.0,17.0,9.1,-5.0,91,98,102.5,104.8
3,Dirk Nowitzki,Engage,2012-02-14,Pre,16,2012-01-19,-26,DAL,@,UTA,W (+3),1,37:28,5.0,12.0,0.41700000000000004,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,12.0,6.8,11.0,92,109,107.5,104.0
4,Dirk Nowitzki,Engage,2012-02-14,Pre,17,2012-01-29,-16,DAL,,SAS,W (+1),1,37:54,5.0,14.0,0.35700000000000004,0.0,3.0,0.0,0.0,0.0,,1.0,12.0,13.0,1.0,1.0,0.0,0.0,3.0,10.0,7.0,6.0,,,105.7,104.7
5,Dirk Nowitzki,Engage,2012-02-14,Pre,18,2012-01-30,-15,DAL,@,PHO,W (+23),1,28:28,4.0,10.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,123,113,132.3,107.4
6,Dirk Nowitzki,Engage,2012-02-14,Pre,19,2012-02-01,-13,DAL,,OKC,L (-9),1,37:40,2.0,15.0,0.133,0.0,5.0,0.0,4.0,4.0,1.0,0.0,8.0,8.0,2.0,2.0,0.0,0.0,4.0,8.0,2.5,-10.0,59,97,91.0,100.6
7,Dirk Nowitzki,Engage,2012-02-14,Pre,20,2012-02-03,-11,DAL,,IND,L (-11),1,33:23,12.0,17.0,0.706,1.0,4.0,0.25,5.0,6.0,0.833,0.0,7.0,7.0,2.0,0.0,0.0,4.0,3.0,30.0,20.8,-6.0,123,112,97.3,109.6
8,Dirk Nowitzki,Engage,2012-02-14,Pre,21,2012-02-04,-10,DAL,@,CLE,L (-3),1,35:13,9.0,15.0,0.6,2.0,2.0,1.0,4.0,5.0,0.8,1.0,7.0,8.0,3.0,0.0,2.0,5.0,1.0,24.0,17.6,-2.0,105,100,96.3,99.6
9,Dirk Nowitzki,Engage,2012-02-14,Pre,22,2012-02-08,-6,DAL,@,DEN,W (+10),1,34:56,11.0,20.0,0.55,1.0,6.0,0.16699999999999998,2.0,2.0,1.0,0.0,9.0,9.0,3.0,1.0,1.0,1.0,2.0,25.0,20.1,12.0,120,101,113.9,103.0
10,Dirk Nowitzki,Engage,2012-02-14,Pre,23,2012-02-10,-4,DAL,@,MIN,W (+7),1,35:04,11.0,19.0,0.579,4.0,7.0,0.5710000000000001,7.0,10.0,0.7,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,33.0,27.5,22.0,137,96,99.0,92.4
11,Dirk Nowitzki,Engage,2012-02-14,Pre,24,2012-02-11,-3,DAL,,POR,W (+3),1,44:30,7.0,20.0,0.35,0.0,3.0,0.0,6.0,6.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,1.0,20.0,10.2,-5.0,90,91,92.0,89.2
12,Dirk Nowitzki,Engage,2012-02-14,Pre,25,2012-02-13,-1,DAL,,LAC,W (+4),1,31:53,5.0,15.0,0.33299999999999996,1.0,3.0,0.33299999999999996,11.0,15.0,0.733,0.0,7.0,7.0,2.0,2.0,0.0,1.0,3.0,22.0,15.2,-1.0,105,95,104.5,100.1
13,Dirk Nowitzki,Engage,2012-02-14,Post,26,2012-02-15,1,DAL,,DEN,W (+18),1,24:57,5.0,12.0,0.41700000000000004,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,12.0,7.8,16.0,96,95,116.1,95.6
