,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Draymond Green,Baby,2016-12-23,Pre,15,2016-11-23,-30,GSW,,LAL,W (+43),1,27:56,1.0,6.0,0.16699999999999998,0.0,3.0,0.0,3.0,6.0,0.5,1.0,8.0,9.0,11.0,1.0,1.0,0.0,1.0,5.0,12.1,30.0,129,98,142.7,101.5
1,Draymond Green,Baby,2016-12-23,Pre,16,2016-11-25,-28,GSW,@,LAL,W (+24),1,25:56,5.0,7.0,0.7140000000000001,1.0,2.0,0.5,1.0,3.0,0.33299999999999996,0.0,8.0,8.0,4.0,3.0,1.0,2.0,3.0,12.0,14.0,11.0,117,71,107.4,83.7
2,Draymond Green,Baby,2016-12-23,Pre,18,2016-11-28,-25,GSW,,ATL,W (+5),1,39:10,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,7.0,1.0,4.0,2.0,4.0,4.0,4.9,8.0,73,100,104.5,99.5
3,Draymond Green,Baby,2016-12-23,Pre,19,2016-12-01,-22,GSW,,HOU,L (-5),1,46:55,9.0,15.0,0.6,0.0,2.0,0.0,2.0,5.0,0.4,5.0,10.0,15.0,9.0,2.0,1.0,4.0,6.0,20.0,21.0,1.0,113,107,105.0,109.1
4,Draymond Green,Baby,2016-12-23,Pre,20,2016-12-03,-20,GSW,,PHO,W (+29),1,28:11,2.0,6.0,0.33299999999999996,1.0,3.0,0.33299999999999996,4.0,5.0,0.8,1.0,4.0,5.0,14.0,3.0,0.0,4.0,3.0,9.0,14.7,10.0,127,103,138.6,109.5
5,Draymond Green,Baby,2016-12-23,Pre,21,2016-12-05,-18,GSW,,IND,W (+36),1,26:55,1.0,6.0,0.16699999999999998,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,10.0,4.0,1.0,1.0,3.0,2.0,9.6,24.0,108,93,135.3,101.0
6,Draymond Green,Baby,2016-12-23,Pre,22,2016-12-07,-16,GSW,@,LAC,W (+17),1,31:31,8.0,10.0,0.8,3.0,5.0,0.6,3.0,4.0,0.75,3.0,2.0,5.0,4.0,2.0,0.0,1.0,4.0,22.0,22.7,25.0,171,106,120.5,102.7
7,Draymond Green,Baby,2016-12-23,Pre,23,2016-12-08,-15,GSW,@,UTA,W (+7),1,34:55,4.0,9.0,0.444,4.0,6.0,0.667,1.0,4.0,0.25,2.0,8.0,10.0,8.0,4.0,0.0,1.0,2.0,13.0,18.7,10.0,133,92,108.7,101.5
8,Draymond Green,Baby,2016-12-23,Pre,24,2016-12-10,-13,GSW,@,MEM,L (-21),1,26:07,3.0,7.0,0.429,0.0,1.0,0.0,1.0,3.0,0.33299999999999996,4.0,3.0,7.0,1.0,2.0,0.0,4.0,4.0,7.0,3.3,-20.0,73,111,92.1,113.9
9,Draymond Green,Baby,2016-12-23,Pre,25,2016-12-11,-12,GSW,@,MIN,W (+8),1,34:34,6.0,9.0,0.667,5.0,8.0,0.625,1.0,2.0,0.5,0.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,18.0,16.1,-12.0,134,114,122.8,114.3
10,Draymond Green,Baby,2016-12-23,Pre,26,2016-12-13,-10,GSW,@,NOP,W (+4),1,35:59,4.0,11.0,0.364,2.0,5.0,0.4,2.0,2.0,1.0,1.0,13.0,14.0,10.0,4.0,1.0,2.0,2.0,12.0,19.4,5.0,115,93,110.4,106.4
11,Draymond Green,Baby,2016-12-23,Pre,27,2016-12-15,-8,GSW,,NYK,W (+13),1,31:35,2.0,12.0,0.16699999999999998,1.0,5.0,0.2,0.0,0.0,,5.0,6.0,11.0,7.0,0.0,2.0,3.0,3.0,5.0,4.8,18.0,75,93,104.7,91.5
12,Draymond Green,Baby,2016-12-23,Pre,28,2016-12-17,-6,GSW,,POR,W (+45),1,28:32,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.0,12.0,12.0,13.0,0.0,1.0,1.0,2.0,3.0,11.8,20.0,137,88,135.2,90.1
13,Draymond Green,Baby,2016-12-23,Pre,29,2016-12-20,-3,GSW,,UTA,W (+30),1,31:20,6.0,11.0,0.545,2.0,5.0,0.4,1.0,2.0,0.5,0.0,11.0,11.0,4.0,5.0,0.0,2.0,3.0,15.0,17.2,32.0,112,59,108.2,77.0
14,Draymond Green,Baby,2016-12-23,Pre,31,2016-12-23,0,GSW,@,DET,W (+6),1,37:43,1.0,7.0,0.14300000000000002,0.0,5.0,0.0,3.0,4.0,0.75,0.0,9.0,9.0,12.0,2.0,1.0,4.0,4.0,5.0,8.3,4.0,87,104,114.3,108.5
15,Draymond Green,Baby,2016-12-23,Post,32,2016-12-25,2,GSW,@,CLE,L (-1),1,31:46,7.0,9.0,0.778,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,6.0,5.0,16.0,9.5,-1.0,98,111,107.9,108.9
16,Draymond Green,Baby,2016-12-23,Post,33,2016-12-28,5,GSW,,TOR,W (+10),1,37:41,6.0,8.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,6.0,6.0,10.0,2.0,2.0,4.0,3.0,14.0,17.8,21.0,132,109,123.2,113.0
17,Draymond Green,Baby,2016-12-23,Post,34,2016-12-30,7,GSW,,DAL,W (+9),1,26:33,6.0,10.0,0.6,1.0,3.0,0.33299999999999996,0.0,0.0,,2.0,6.0,8.0,7.0,0.0,0.0,3.0,3.0,13.0,12.3,17.0,117,104,111.4,102.1
18,Draymond Green,Baby,2016-12-23,Post,35,2017-01-02,10,GSW,,DEN,W (+8),1,36:05,5.0,8.0,0.625,1.0,2.0,0.5,4.0,6.0,0.667,3.0,7.0,10.0,13.0,0.0,0.0,5.0,3.0,15.0,17.7,11.0,126,117,123.2,115.4
19,Draymond Green,Baby,2016-12-23,Post,36,2017-01-04,12,GSW,,POR,W (+8),1,30:11,3.0,6.0,0.5,2.0,4.0,0.5,1.0,3.0,0.33299999999999996,1.0,6.0,7.0,11.0,3.0,1.0,2.0,5.0,9.0,15.1,4.0,133,107,120.1,112.5
20,Draymond Green,Baby,2016-12-23,Post,37,2017-01-06,14,GSW,,MEM,L (-9),1,40:08,3.0,6.0,0.5,1.0,3.0,0.33299999999999996,4.0,5.0,0.8,0.0,8.0,8.0,4.0,3.0,0.0,4.0,6.0,11.0,9.4,-7.0,99,113,111.3,119.8
21,Draymond Green,Baby,2016-12-23,Post,38,2017-01-08,16,GSW,@,SAC,W (+11),1,32:16,4.0,9.0,0.444,1.0,4.0,0.25,0.0,0.0,,1.0,6.0,7.0,10.0,2.0,2.0,4.0,5.0,9.0,11.2,21.0,101,99,115.7,104.9
22,Draymond Green,Baby,2016-12-23,Post,39,2017-01-10,18,GSW,,MIA,W (+12),1,35:33,4.0,11.0,0.364,0.0,3.0,0.0,5.0,6.0,0.833,0.0,9.0,9.0,5.0,2.0,2.0,1.0,0.0,13.0,15.1,3.0,103,88,106.4,94.4
23,Draymond Green,Baby,2016-12-23,Post,40,2017-01-12,20,GSW,,DET,W (+20),1,30:21,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,13.0,0.0,2.0,1.0,1.0,2.0,11.4,9.0,129,102,120.0,101.1
24,Draymond Green,Baby,2016-12-23,Post,41,2017-01-16,24,GSW,,CLE,W (+35),1,34:46,4.0,6.0,0.667,0.0,0.0,,3.0,4.0,0.75,2.0,11.0,13.0,11.0,1.0,5.0,0.0,1.0,11.0,24.5,43.0,182,79,120.6,87.1
25,Draymond Green,Baby,2016-12-23,Post,42,2017-01-18,26,GSW,,OKC,W (+21),1,35:50,5.0,9.0,0.556,0.0,1.0,0.0,2.0,4.0,0.5,2.0,9.0,11.0,5.0,1.0,3.0,4.0,2.0,12.0,12.8,15.0,100,96,120.5,99.6
26,Draymond Green,Baby,2016-12-23,Post,43,2017-01-20,28,GSW,@,HOU,W (+17),1,33:24,6.0,12.0,0.5,3.0,5.0,0.6,0.0,0.0,,3.0,6.0,9.0,8.0,1.0,3.0,3.0,3.0,15.0,17.4,18.0,125,103,123.4,106.6
27,Draymond Green,Baby,2016-12-23,Post,44,2017-01-22,30,GSW,@,ORL,W (+20),1,33:19,1.0,7.0,0.14300000000000002,0.0,4.0,0.0,4.0,4.0,1.0,4.0,6.0,10.0,4.0,1.0,0.0,3.0,3.0,6.0,5.7,6.0,94,98,118.1,98.1
28,Draymond Green,Baby,2016-12-23,Post,45,2017-01-23,31,GSW,@,MIA,L (-3),1,38:30,3.0,8.0,0.375,0.0,3.0,0.0,1.0,4.0,0.25,1.0,2.0,3.0,7.0,1.0,1.0,2.0,3.0,7.0,6.1,7.0,87,110,102.4,105.4
