,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Dwyane Wade,Engage,2013-12-21,Pre,13,2013-11-23,-28,MIA,,ORL,W (+2),1,34:11,9.0,16.0,0.563,0.0,0.0,,9.0,10.0,0.9,1.0,3.0,4.0,4.0,1.0,0.0,1.0,2.0,27.0,22.6,6.0,134,109,109.0,106.9
1,Dwyane Wade,Engage,2013-12-21,Pre,14,2013-11-25,-26,MIA,,PHO,W (+15),1,33:04,9.0,13.0,0.6920000000000001,0.0,0.0,,3.0,3.0,1.0,2.0,4.0,6.0,12.0,0.0,0.0,3.0,2.0,21.0,22.7,22.0,142,105,115.3,99.1
2,Dwyane Wade,Engage,2013-12-21,Pre,15,2013-11-27,-24,MIA,@,CLE,W (+11),1,35:56,10.0,14.0,0.7140000000000001,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,6.0,1.0,22.0,15.5,17.0,100,92,99.5,88.0
3,Dwyane Wade,Engage,2013-12-21,Pre,16,2013-11-29,-22,MIA,@,TOR,W (+7),1,34:28,9.0,16.0,0.563,0.0,0.0,,4.0,5.0,0.8,1.0,6.0,7.0,6.0,4.0,0.0,5.0,4.0,22.0,18.1,22.0,102,80,95.6,88.2
4,Dwyane Wade,Engage,2013-12-21,Pre,17,2013-12-01,-20,MIA,,CHA,W (+1),1,34:58,6.0,10.0,0.6,0.0,1.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,4.0,1.0,2.0,5.0,4.0,17.0,11.5,7.0,102,107,108.2,107.1
5,Dwyane Wade,Engage,2013-12-21,Pre,20,2013-12-07,-14,MIA,@,MIN,W (+21),1,32:05,7.0,14.0,0.5,0.0,0.0,,5.0,5.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,5.0,4.0,19.0,11.4,15.0,97,86,106.1,84.5
6,Dwyane Wade,Engage,2013-12-21,Pre,22,2013-12-10,-11,MIA,@,IND,L (-6),1,34:54,6.0,14.0,0.429,0.0,1.0,0.0,5.0,6.0,0.833,1.0,5.0,6.0,6.0,3.0,0.0,1.0,1.0,17.0,17.2,-18.0,110,98,93.8,100.5
7,Dwyane Wade,Engage,2013-12-21,Pre,23,2013-12-14,-7,MIA,,CLE,W (+7),1,33:46,9.0,15.0,0.6,0.0,0.0,,6.0,9.0,0.667,3.0,3.0,6.0,3.0,1.0,0.0,1.0,3.0,24.0,19.8,-13.0,135,118,121.0,113.5
8,Dwyane Wade,Engage,2013-12-21,Pre,24,2013-12-16,-5,MIA,,UTA,W (+23),1,30:40,9.0,14.0,0.643,0.0,0.0,,9.0,10.0,0.9,1.0,4.0,5.0,2.0,0.0,1.0,3.0,3.0,27.0,20.2,13.0,131,107,128.1,102.9
9,Dwyane Wade,Engage,2013-12-21,Pre,25,2013-12-18,-3,MIA,,IND,W (+3),1,37:10,15.0,25.0,0.6,0.0,1.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,32.0,22.7,-3.0,110,101,106.0,102.8
10,Dwyane Wade,Engage,2013-12-21,Pre,26,2013-12-20,-1,MIA,,SAC,W (+19),1,30:55,9.0,16.0,0.563,2.0,3.0,0.667,0.0,1.0,0.0,1.0,4.0,5.0,5.0,3.0,0.0,2.0,1.0,20.0,18.0,28.0,118,103,124.6,105.2
11,Dwyane Wade,Engage,2013-12-21,Post,28,2013-12-25,4,MIA,@,LAL,W (+6),1,38:46,11.0,17.0,0.647,1.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,6.0,7.0,3.0,0.0,3.0,1.0,23.0,21.4,17.0,115,99,108.6,102.2
12,Dwyane Wade,Engage,2013-12-21,Post,30,2013-12-28,7,MIA,@,POR,W (+1),1,33:48,8.0,20.0,0.4,0.0,0.0,,0.0,1.0,0.0,1.0,3.0,4.0,7.0,1.0,1.0,3.0,2.0,16.0,9.2,-3.0,85,114,113.1,112.0
13,Dwyane Wade,Engage,2013-12-21,Post,31,2013-12-30,9,MIA,@,DEN,W (+3),1,18:17,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,12.0,11.8,1.0,132,103,111.8,108.3
14,Dwyane Wade,Engage,2013-12-21,Post,32,2014-01-02,12,MIA,,GSW,L (-9),1,35:45,9.0,18.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,3.0,0.0,2.0,4.0,22.0,17.5,-11.0,114,119,113.7,122.7
15,Dwyane Wade,Engage,2013-12-21,Post,33,2014-01-04,14,MIA,@,ORL,W (+16),1,35:58,8.0,15.0,0.5329999999999999,0.0,0.0,,4.0,5.0,0.8,1.0,5.0,6.0,4.0,1.0,0.0,2.0,2.0,20.0,15.5,12.0,115,103,118.6,101.3
16,Dwyane Wade,Engage,2013-12-21,Post,34,2014-01-05,15,MIA,,TOR,W (+5),1,34:40,5.0,13.0,0.385,0.0,0.0,,4.0,4.0,1.0,2.0,7.0,9.0,3.0,2.0,1.0,1.0,1.0,14.0,13.8,13.0,113,104,115.7,110.0
17,Dwyane Wade,Engage,2013-12-21,Post,35,2014-01-07,17,MIA,,NOP,W (+19),1,34:20,9.0,15.0,0.6,0.0,1.0,0.0,4.0,5.0,0.8,3.0,5.0,8.0,8.0,0.0,0.0,4.0,1.0,22.0,19.5,22.0,122,102,121.0,99.5
18,Dwyane Wade,Engage,2013-12-21,Post,36,2014-01-09,19,MIA,@,NYK,L (-10),1,39:06,11.0,15.0,0.733,1.0,1.0,1.0,0.0,6.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,23.0,15.0,-14.0,106,119,106.3,117.8
19,Dwyane Wade,Engage,2013-12-21,Post,38,2014-01-15,25,MIA,@,WAS,L (-17),1,32:52,4.0,11.0,0.364,0.0,0.0,,0.0,0.0,,1.0,5.0,6.0,5.0,0.0,0.0,3.0,0.0,8.0,4.6,-15.0,76,128,106.6,125.3
20,Dwyane Wade,Engage,2013-12-21,Post,39,2014-01-17,27,MIA,@,PHI,W (+15),1,25:06,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,8.0,8.3,7.0,119,94,107.1,91.2
