,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Isaiah Thomas,Baby,2012-01-29,Pre,3,2011-12-29,-31,SAC,,CHI,L (-10),0,0:24,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,223,121,103.7,114.3
1,Isaiah Thomas,Baby,2012-01-29,Pre,4,2011-12-31,-29,SAC,,NYK,L (-22),0,8:17,0.0,2.0,0.0,0.0,1.0,0.0,7.0,10.0,0.7,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,7.8,-4.0,141,111,102.6,127.1
2,Isaiah Thomas,Baby,2012-01-29,Pre,5,2012-01-01,-28,SAC,,NOH,W (+16),0,4:38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0,0,102,106.4,88.6
3,Isaiah Thomas,Baby,2012-01-29,Pre,6,2012-01-03,-26,SAC,@,MEM,L (-17),0,16:13,4.0,10.0,0.4,2.0,5.0,0.4,5.0,5.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,0.0,15.0,12.6,-1.0,124,112,99.7,117.3
4,Isaiah Thomas,Baby,2012-01-29,Pre,7,2012-01-04,-25,SAC,@,DEN,L (-27),0,28:07,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,3.0,1.0,4.0,0.0,4.0,-0.5,-13.0,35,104,81.0,107.3
5,Isaiah Thomas,Baby,2012-01-29,Pre,8,2012-01-05,-24,SAC,,MIL,W (+3),0,0:03,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,107.8,104.7
6,Isaiah Thomas,Baby,2012-01-29,Pre,9,2012-01-08,-21,SAC,,ORL,L (-7),0,5:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,124,107.1,114.8
7,Isaiah Thomas,Baby,2012-01-29,Pre,10,2012-01-10,-19,SAC,@,PHI,L (-27),0,25:45,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,7.0,2.6,-18.0,77,118,88.4,116.5
8,Isaiah Thomas,Baby,2012-01-29,Pre,11,2012-01-11,-18,SAC,@,TOR,W (+7),0,23:41,6.0,12.0,0.5,3.0,6.0,0.5,5.0,5.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,2.0,2.0,20.0,17.3,10.0,140,98,104.8,97.3
9,Isaiah Thomas,Baby,2012-01-29,Pre,12,2012-01-13,-16,SAC,@,HOU,L (-14),0,26:52,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,3.0,1.0,13.0,10.4,3.0,107,120,99.1,114.7
