,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Julius Randle,Baby,2016-12-23,Pre,19,2016-11-29,-24,LAL,@,NOP,L (-17),1,21:35,6.0,9.0,0.667,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,10.0,3.0,0.0,0.0,2.0,3.0,12.0,9.2,-17.0,97,105,93.2,111.2
1,Julius Randle,Baby,2016-12-23,Pre,20,2016-11-30,-23,LAL,@,CHI,W (+6),1,30:53,4.0,13.0,0.308,0.0,0.0,,5.0,8.0,0.625,9.0,11.0,20.0,2.0,2.0,0.0,5.0,4.0,13.0,10.7,-5.0,84,81,94.7,88.8
2,Julius Randle,Baby,2016-12-23,Pre,21,2016-12-02,-21,LAL,@,TOR,L (-33),1,22:13,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,2.0,6.0,8.0,2.0,0.0,1.0,5.0,3.0,8.0,3.1,-12.0,69,121,87.2,123.2
3,Julius Randle,Baby,2016-12-23,Pre,22,2016-12-03,-20,LAL,@,MEM,L (-3),1,29:20,3.0,8.0,0.375,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,5.0,6.0,1.4,-10.0,80,117,108.9,112.2
4,Julius Randle,Baby,2016-12-23,Pre,23,2016-12-05,-18,LAL,,UTA,L (-6),1,36:47,5.0,12.0,0.41700000000000004,0.0,0.0,,1.0,2.0,0.5,4.0,7.0,11.0,1.0,2.0,0.0,0.0,4.0,11.0,10.2,-8.0,113,114,112.7,119.4
5,Julius Randle,Baby,2016-12-23,Pre,24,2016-12-07,-16,LAL,@,HOU,L (-39),1,28:38,9.0,19.0,0.474,0.0,1.0,0.0,3.0,4.0,0.75,5.0,5.0,10.0,1.0,0.0,0.0,3.0,2.0,21.0,12.8,-18.0,100,129,88.6,125.0
6,Julius Randle,Baby,2016-12-23,Pre,25,2016-12-09,-14,LAL,,PHO,L (-4),1,33:25,4.0,11.0,0.364,0.0,2.0,0.0,6.0,7.0,0.857,1.0,8.0,9.0,5.0,1.0,0.0,6.0,5.0,14.0,7.1,-3.0,85,114,112.3,116.2
7,Julius Randle,Baby,2016-12-23,Pre,26,2016-12-11,-12,LAL,,NYK,L (-6),1,33:48,7.0,12.0,0.583,0.0,0.0,,3.0,4.0,0.75,2.0,8.0,10.0,4.0,0.0,0.0,1.0,4.0,17.0,15.0,-1.0,129,121,113.0,119.1
8,Julius Randle,Baby,2016-12-23,Pre,27,2016-12-12,-11,LAL,@,SAC,L (-24),1,28:17,1.0,7.0,0.14300000000000002,0.0,1.0,0.0,0.0,0.0,,4.0,4.0,8.0,0.0,1.0,0.0,2.0,4.0,2.0,-1.1,-18.0,,,95.9,120.9
9,Julius Randle,Baby,2016-12-23,Pre,28,2016-12-14,-9,LAL,@,BRK,L (-10),1,31:09,2.0,8.0,0.25,0.0,0.0,,2.0,5.0,0.4,1.0,9.0,10.0,1.0,0.0,0.0,0.0,5.0,6.0,2.1,-7.0,77,107,101.0,111.4
10,Julius Randle,Baby,2016-12-23,Pre,29,2016-12-16,-7,LAL,@,PHI,W (+11),1,33:10,10.0,13.0,0.769,0.0,0.0,,5.0,6.0,0.833,1.0,8.0,9.0,4.0,3.0,0.0,5.0,4.0,25.0,21.8,13.0,123,83,102.3,91.1
11,Julius Randle,Baby,2016-12-23,Pre,30,2016-12-17,-6,LAL,@,CLE,L (-11),1,28:29,8.0,15.0,0.5329999999999999,0.0,0.0,,0.0,1.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,5.0,1.0,16.0,9.4,-3.0,93,133,117.9,129.9
