,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Klay Thompson,Dead of Family,2017-02-06,Pre,37,2017-01-06,-31,GSW,,MEM,L (-9),1,41:44,7.0,17.0,0.41200000000000003,2.0,6.0,0.33299999999999996,1.0,3.0,0.33299999999999996,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,17.0,11.1,2.0,106,126,111.3,119.8
1,Klay Thompson,Dead of Family,2017-02-06,Pre,38,2017-01-08,-29,GSW,@,SAC,W (+11),1,36:21,8.0,19.0,0.42100000000000004,1.0,7.0,0.14300000000000002,1.0,2.0,0.5,1.0,5.0,6.0,2.0,0.0,0.0,5.0,3.0,18.0,4.9,18.0,78,112,115.7,104.9
2,Klay Thompson,Dead of Family,2017-02-06,Pre,40,2017-01-12,-25,GSW,,DET,W (+20),1,35:34,9.0,15.0,0.6,4.0,5.0,0.8,1.0,4.0,0.25,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,23.0,18.1,9.0,125,104,120.0,101.1
3,Klay Thompson,Dead of Family,2017-02-06,Pre,41,2017-01-16,-21,GSW,,CLE,W (+35),1,31:15,8.0,17.0,0.47100000000000003,5.0,11.0,0.455,5.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,5.0,26.0,15.2,41.0,120,93,120.6,87.1
4,Klay Thompson,Dead of Family,2017-02-06,Pre,42,2017-01-18,-19,GSW,,OKC,W (+21),1,29:52,5.0,12.0,0.41700000000000004,3.0,5.0,0.6,1.0,2.0,0.5,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,14.0,10.8,21.0,117,103,120.5,99.6
5,Klay Thompson,Dead of Family,2017-02-06,Pre,43,2017-01-20,-17,GSW,@,HOU,W (+17),1,34:20,7.0,19.0,0.368,2.0,10.0,0.2,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,16.0,5.1,9.0,79,113,123.4,106.6
6,Klay Thompson,Dead of Family,2017-02-06,Pre,44,2017-01-22,-15,GSW,@,ORL,W (+20),1,33:53,7.0,14.0,0.5,7.0,9.0,0.778,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,1.0,3.0,1.0,21.0,13.5,17.0,117,102,118.1,98.1
7,Klay Thompson,Dead of Family,2017-02-06,Pre,45,2017-01-23,-14,GSW,@,MIA,L (-3),1,37:09,8.0,18.0,0.444,3.0,8.0,0.375,3.0,4.0,0.75,0.0,5.0,5.0,1.0,2.0,1.0,2.0,4.0,22.0,13.5,1.0,99,104,102.4,105.4
8,Klay Thompson,Dead of Family,2017-02-06,Pre,46,2017-01-25,-12,GSW,@,CHO,W (+10),1,32:18,5.0,14.0,0.35700000000000004,2.0,8.0,0.25,7.0,7.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,19.0,13.7,5.0,112,106,113.9,103.8
9,Klay Thompson,Dead of Family,2017-02-06,Pre,47,2017-01-28,-9,GSW,,LAC,W (+46),1,26:35,7.0,11.0,0.636,2.0,3.0,0.667,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,16.0,10.3,22.0,114,106,147.2,100.2
