,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Kyle Korver,Baby,2012-12-05,Pre,3,2012-11-07,-28,ATL,,IND,W (+3),1,30:49,5.0,13.0,0.385,3.0,9.0,0.33299999999999996,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,13.0,6.1,3.0,97,101,98.7,95.4
1,Kyle Korver,Baby,2012-12-05,Pre,4,2012-11-09,-26,ATL,,MIA,L (-6),1,30:08,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,11.0,4.6,-1.0,100,109,100.2,106.9
2,Kyle Korver,Baby,2012-12-05,Pre,5,2012-11-11,-24,ATL,@,LAC,L (-13),1,29:59,2.0,6.0,0.33299999999999996,2.0,6.0,0.33299999999999996,1.0,1.0,1.0,0.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,7.0,7.9,-11.0,105,95,85.5,100.2
3,Kyle Korver,Baby,2012-12-05,Pre,6,2012-11-12,-23,ATL,@,POR,W (+8),1,30:37,5.0,8.0,0.625,4.0,6.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,4.0,16.0,13.1,12.0,138,93,99.1,90.7
4,Kyle Korver,Baby,2012-12-05,Pre,7,2012-11-14,-21,ATL,@,GSW,L (-4),1,37:52,5.0,6.0,0.833,2.0,3.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,14.0,15.0,6.0,202,104,96.1,100.4
5,Kyle Korver,Baby,2012-12-05,Pre,8,2012-11-16,-19,ATL,@,SAC,W (+16),1,36:45,7.0,9.0,0.778,5.0,5.0,1.0,3.0,3.0,1.0,0.0,7.0,7.0,3.0,1.0,0.0,0.0,1.0,22.0,23.3,10.0,213,104,121.2,103.9
6,Kyle Korver,Baby,2012-12-05,Pre,9,2012-11-19,-16,ATL,,ORL,W (+9),1,25:28,2.0,11.0,0.182,1.0,6.0,0.16699999999999998,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,1.2,6.0,61,85,85.5,76.0
7,Kyle Korver,Baby,2012-12-05,Pre,10,2012-11-21,-14,ATL,,WAS,W (+1),1,44:38,5.0,12.0,0.41700000000000004,5.0,12.0,0.41700000000000004,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,16.0,8.9,9.0,112,108,102.0,101.0
8,Kyle Korver,Baby,2012-12-05,Pre,11,2012-11-23,-12,ATL,@,CHA,W (+10),1,30:20,6.0,10.0,0.6,4.0,6.0,0.667,0.0,0.0,,0.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,16.0,15.6,11.0,136,92,104.1,93.8
9,Kyle Korver,Baby,2012-12-05,Pre,12,2012-11-24,-11,ATL,,LAC,W (+11),1,26:24,2.0,7.0,0.28600000000000003,2.0,7.0,0.28600000000000003,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,5.2,6.0,96,101,112.1,100.2
10,Kyle Korver,Baby,2012-12-05,Pre,13,2012-11-28,-7,ATL,,CHA,W (+3),1,23:00,3.0,10.0,0.3,2.0,7.0,0.28600000000000003,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,8.0,5.4,8.0,95,103,105.9,102.5
11,Kyle Korver,Baby,2012-12-05,Post,19,2012-12-12,7,ATL,@,ORL,W (+6),0,23:16,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,9.0,4.5,2.0,95,95,96.4,89.6
12,Kyle Korver,Baby,2012-12-05,Post,20,2012-12-13,8,ATL,,CHA,W (+23),1,21:19,5.0,7.0,0.7140000000000001,2.0,3.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,13.0,11.0,18.0,125,99,124.8,99.4
13,Kyle Korver,Baby,2012-12-05,Post,21,2012-12-15,10,ATL,,GSW,L (-22),1,21:13,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,1.7,-17.0,61,110,92.9,114.9
14,Kyle Korver,Baby,2012-12-05,Post,22,2012-12-18,13,ATL,@,WAS,W (+5),1,38:37,5.0,6.0,0.833,3.0,4.0,0.75,3.0,4.0,0.75,1.0,6.0,7.0,2.0,0.0,1.0,2.0,5.0,16.0,14.0,3.0,154,101,101.9,96.8
15,Kyle Korver,Baby,2012-12-05,Post,23,2012-12-19,14,ATL,,OKC,L (-8),1,31:59,3.0,10.0,0.3,3.0,7.0,0.429,0.0,0.0,,0.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,9.0,9.7,4.0,85,94,98.5,107.0
16,Kyle Korver,Baby,2012-12-05,Post,24,2012-12-21,16,ATL,@,PHI,L (-19),1,21:48,4.0,9.0,0.444,2.0,6.0,0.33299999999999996,1.0,1.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,11.0,8.9,-11.0,134,122,94.8,117.3
17,Kyle Korver,Baby,2012-12-05,Post,25,2012-12-22,17,ATL,,CHI,W (+17),1,26:59,4.0,8.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,13.0,11.1,31.0,162,92,108.0,88.0
18,Kyle Korver,Baby,2012-12-05,Post,26,2012-12-26,21,ATL,,DET,W (+7),1,39:54,2.0,11.0,0.182,2.0,9.0,0.222,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,8.0,6.4,7.0,82,110,114.3,108.0
19,Kyle Korver,Baby,2012-12-05,Post,27,2012-12-28,23,ATL,@,CLE,W (+8),1,32:07,4.0,7.0,0.5710000000000001,3.0,6.0,0.5,0.0,0.0,,0.0,5.0,5.0,2.0,3.0,3.0,1.0,4.0,11.0,13.1,-2.0,130,94,113.3,104.4
20,Kyle Korver,Baby,2012-12-05,Post,28,2012-12-29,24,ATL,,IND,W (+9),1,32:56,5.0,10.0,0.5,4.0,5.0,0.8,2.0,3.0,0.667,1.0,1.0,2.0,1.0,2.0,0.0,3.0,4.0,16.0,9.7,10.0,112,115,123.8,113.6
21,Kyle Korver,Baby,2012-12-05,Post,29,2012-12-31,26,ATL,@,HOU,L (-19),1,25:53,1.0,3.0,0.33299999999999996,1.0,3.0,0.33299999999999996,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,1.1,-4.0,79,130,104.6,123.7
22,Kyle Korver,Baby,2012-12-05,Post,30,2013-01-01,27,ATL,@,NOH,W (+9),1,30:43,4.0,8.0,0.5,4.0,7.0,0.5710000000000001,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,14.0,10.9,5.0,136,110,114.7,103.8
23,Kyle Korver,Baby,2012-12-05,Post,31,2013-01-04,30,ATL,@,DET,L (-1),1,33:29,3.0,9.0,0.33299999999999996,3.0,9.0,0.33299999999999996,1.0,1.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,4.0,10.0,8.7,8.0,117,97,92.5,93.6
24,Kyle Korver,Baby,2012-12-05,Post,32,2013-01-05,31,ATL,,BOS,L (-8),1,25:35,3.0,9.0,0.33299999999999996,3.0,8.0,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,6.0,9.0,2.8,4.0,97,110,96.4,106.0
