,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Paul Pierce,Baby,2008-04-04,Pre,59,2008-03-05,-30,BOS,,DET,W (+12),1,31:43,5.0,9.0,0.556,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,15.0,17.2,12.0,163,92,105.4,91.4
1,Paul Pierce,Baby,2008-04-04,Pre,60,2008-03-07,-28,BOS,,CHI,W (+23),1,24:55,6.0,12.0,0.5,2.0,4.0,0.5,8.0,8.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,4.0,22.0,17.5,19.0,142,98,114.6,91.9
2,Paul Pierce,Baby,2008-04-04,Pre,61,2008-03-08,-27,BOS,@,MEM,W (+30),1,28:45,6.0,12.0,0.5,4.0,8.0,0.5,3.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,1.0,19.0,19.1,29.0,171,103,134.8,100.8
3,Paul Pierce,Baby,2008-04-04,Pre,62,2008-03-10,-25,BOS,@,PHI,W (+14),1,28:05,6.0,11.0,0.545,3.0,7.0,0.429,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,17.0,12.5,19.0,130,102,114.4,98.4
4,Paul Pierce,Baby,2008-04-04,Pre,63,2008-03-12,-23,BOS,,SEA,W (+29),1,26:22,6.0,11.0,0.545,0.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,11.0,2.0,1.0,1.0,2.0,14.0,18.8,22.0,134,78,114.3,84.4
5,Paul Pierce,Baby,2008-04-04,Pre,64,2008-03-14,-21,BOS,,UTA,L (-18),1,36:08,1.0,7.0,0.14300000000000002,0.0,3.0,0.0,6.0,7.0,0.857,0.0,2.0,2.0,4.0,1.0,0.0,5.0,4.0,8.0,0.9,-8.0,69,135,111.1,132.9
6,Paul Pierce,Baby,2008-04-04,Pre,65,2008-03-15,-20,BOS,@,MIL,W (+22),1,27:02,5.0,8.0,0.625,0.0,3.0,0.0,3.0,3.0,1.0,1.0,6.0,7.0,3.0,0.0,0.0,3.0,1.0,13.0,10.6,16.0,113,92,121.5,94.5
7,Paul Pierce,Baby,2008-04-04,Pre,66,2008-03-17,-18,BOS,@,SAS,W (+2),1,43:48,8.0,13.0,0.615,1.0,4.0,0.25,5.0,6.0,0.833,0.0,8.0,8.0,5.0,1.0,1.0,4.0,5.0,22.0,17.3,-3.0,121,108,109.4,107.1
8,Paul Pierce,Baby,2008-04-04,Pre,67,2008-03-18,-17,BOS,@,HOU,W (+20),1,34:57,7.0,15.0,0.467,2.0,6.0,0.33299999999999996,4.0,4.0,1.0,2.0,2.0,4.0,5.0,3.0,0.0,1.0,3.0,20.0,18.6,19.0,138,87,112.8,88.8
9,Paul Pierce,Baby,2008-04-04,Pre,68,2008-03-20,-15,BOS,@,DAL,W (+4),1,36:45,6.0,14.0,0.429,0.0,3.0,0.0,10.0,13.0,0.769,2.0,11.0,13.0,3.0,1.0,3.0,0.0,2.0,22.0,22.5,5.0,126,89,97.7,93.6
10,Paul Pierce,Baby,2008-04-04,Pre,69,2008-03-22,-13,BOS,@,NOH,L (-7),1,37:50,9.0,15.0,0.6,3.0,5.0,0.6,7.0,9.0,0.778,3.0,3.0,6.0,2.0,0.0,0.0,4.0,4.0,28.0,19.1,-6.0,131,128,116.8,124.5
11,Paul Pierce,Baby,2008-04-04,Pre,70,2008-03-24,-11,BOS,,PHI,L (-5),1,31:45,4.0,6.0,0.667,3.0,5.0,0.6,1.0,4.0,0.25,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,12.0,10.4,6.0,107,104,99.8,105.3
12,Paul Pierce,Baby,2008-04-04,Pre,71,2008-03-26,-9,BOS,,PHO,W (+20),1,37:53,9.0,16.0,0.563,0.0,1.0,0.0,9.0,9.0,1.0,0.0,6.0,6.0,4.0,1.0,1.0,3.0,1.0,27.0,22.3,29.0,134,105,126.8,105.1
13,Paul Pierce,Baby,2008-04-04,Pre,72,2008-03-28,-7,BOS,,NOH,W (+20),1,36:16,7.0,11.0,0.636,0.0,3.0,0.0,13.0,13.0,1.0,0.0,6.0,6.0,9.0,0.0,0.0,1.0,3.0,27.0,28.0,28.0,165,107,128.6,105.6
14,Paul Pierce,Baby,2008-04-04,Pre,73,2008-03-30,-5,BOS,,MIA,W (+26),1,24:35,3.0,7.0,0.429,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,10.0,8.6,22.0,111,78,108.1,76.2
15,Paul Pierce,Baby,2008-04-04,Pre,74,2008-04-01,-3,BOS,@,CHI,W (+14),1,36:23,6.0,9.0,0.667,4.0,5.0,0.8,1.0,3.0,0.33299999999999996,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,17.0,12.7,13.0,119,106,117.0,101.5
16,Paul Pierce,Baby,2008-04-04,Pre,75,2008-04-02,-2,BOS,,IND,W (+15),1,31:53,4.0,11.0,0.364,2.0,7.0,0.28600000000000003,3.0,4.0,0.75,0.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,13.0,8.7,16.0,105,88,100.5,84.1
17,Paul Pierce,Baby,2008-04-04,Post,76,2008-04-08,4,BOS,@,MIL,W (+3),1,20:33,6.0,11.0,0.545,2.0,6.0,0.33299999999999996,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,14.0,10.3,17.0,114,101,102.6,99.8
18,Paul Pierce,Baby,2008-04-04,Post,77,2008-04-09,5,BOS,@,WAS,L (-14),1,37:00,10.0,15.0,0.667,6.0,9.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,1.0,6.0,3.0,28.0,21.5,-5.0,126,122,105.7,121.3
19,Paul Pierce,Baby,2008-04-04,Post,78,2008-04-11,7,BOS,,MIL,W (+16),1,22:04,5.0,11.0,0.455,4.0,8.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,14.0,9.8,15.0,131,101,115.6,97.4
20,Paul Pierce,Baby,2008-04-04,Post,79,2008-04-12,8,BOS,@,ATL,W (+10),1,27:03,3.0,7.0,0.429,0.0,1.0,0.0,8.0,8.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,2.0,3.0,14.0,12.1,-2.0,129,102,114.7,103.1
21,Paul Pierce,Baby,2008-04-04,Post,80,2008-04-16,12,BOS,,NJN,W (+11),1,16:58,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,7.9,-1.0,129,89,112.8,101.0
