,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Roy Hibbert,Engage,2014-03-24,Pre,56,2014-02-25,-27,IND,,LAL,W (+20),1,24:05,5.0,10.0,0.5,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,1.0,0.0,4.0,2.0,3.0,10.0,8.3,11.0,100,92,113.2,94.0
1,Roy Hibbert,Engage,2014-03-24,Pre,57,2014-02-27,-25,IND,,MIL,W (+5),1,33:40,10.0,16.0,0.625,0.0,0.0,,4.0,5.0,0.8,3.0,9.0,12.0,1.0,0.0,2.0,4.0,3.0,24.0,18.1,-1.0,114,102,111.6,106.0
2,Roy Hibbert,Engage,2014-03-24,Pre,58,2014-03-01,-23,IND,@,BOS,W (+5),1,32:59,6.0,10.0,0.6,0.0,0.0,,3.0,3.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,3.0,5.0,15.0,8.0,9.0,104,111,113.4,107.9
3,Roy Hibbert,Engage,2014-03-24,Pre,59,2014-03-02,-22,IND,,UTA,W (+3),1,19:13,1.0,9.0,0.111,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,2.0,1.0,5.0,2.0,-2.8,-13.0,42,102,104.7,101.3
4,Roy Hibbert,Engage,2014-03-24,Pre,60,2014-03-04,-20,IND,,GSW,L (-2),1,34:06,4.0,7.0,0.5710000000000001,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,3.0,12.0,9.6,7.0,118,109,105.2,107.4
5,Roy Hibbert,Engage,2014-03-24,Pre,61,2014-03-05,-19,IND,@,CHA,L (-22),1,22:13,2.0,8.0,0.25,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,-0.3,-16.0,61,121,98.1,123.0
6,Roy Hibbert,Engage,2014-03-24,Pre,62,2014-03-07,-17,IND,@,HOU,L (-26),1,28:57,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,3.0,0.0,3.0,9.0,8.9,-28.0,137,122,95.7,124.7
7,Roy Hibbert,Engage,2014-03-24,Pre,63,2014-03-09,-15,IND,@,DAL,L (-11),1,37:24,6.0,9.0,0.667,0.0,0.0,,2.0,2.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,4.0,4.0,14.0,7.9,-14.0,105,124,106.7,119.2
8,Roy Hibbert,Engage,2014-03-24,Pre,64,2014-03-11,-13,IND,,BOS,W (+11),1,32:20,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,2.0,7.0,9.0,2.0,0.0,2.0,0.0,3.0,6.0,7.4,14.0,116,94,110.5,97.6
9,Roy Hibbert,Engage,2014-03-24,Pre,65,2014-03-14,-10,IND,@,PHI,W (+7),1,30:24,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,3.2,13.0,62,95,107.0,99.6
10,Roy Hibbert,Engage,2014-03-24,Pre,66,2014-03-15,-9,IND,@,DET,W (+8),1,32:42,4.0,10.0,0.4,0.0,0.0,,4.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,2.0,2.0,5.0,12.0,7.7,13.0,103,99,108.4,100.7
11,Roy Hibbert,Engage,2014-03-24,Pre,67,2014-03-17,-7,IND,,PHI,W (+9),1,27:35,3.0,8.0,0.375,0.0,0.0,,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,4.0,8.0,3.7,-9.0,82,94,104.5,95.0
12,Roy Hibbert,Engage,2014-03-24,Pre,68,2014-03-19,-5,IND,@,NYK,L (-6),1,29:53,8.0,10.0,0.8,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,20.0,17.0,0.0,174,107,94.7,101.3
13,Roy Hibbert,Engage,2014-03-24,Pre,69,2014-03-21,-3,IND,,CHI,W (+12),1,31:57,3.0,10.0,0.3,0.0,0.0,,6.0,6.0,1.0,5.0,6.0,11.0,2.0,0.0,4.0,1.0,1.0,12.0,14.3,13.0,117,85,102.5,89.0
14,Roy Hibbert,Engage,2014-03-24,Pre,70,2014-03-22,-2,IND,@,MEM,L (-11),1,20:37,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,-1.0,-9.0,65,107,87.5,101.0
15,Roy Hibbert,Engage,2014-03-24,Pre,71,2014-03-24,0,IND,@,CHI,L (-12),1,26:06,0.0,5.0,0.0,0.0,0.0,,3.0,4.0,0.75,1.0,4.0,5.0,0.0,0.0,0.0,3.0,5.0,3.0,-4.0,-11.0,38,103,85.8,99.2
16,Roy Hibbert,Engage,2014-03-24,Post,72,2014-03-26,2,IND,,MIA,W (+1),1,33:40,7.0,15.0,0.467,0.0,0.0,,7.0,9.0,0.778,2.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,21.0,12.7,1.0,108,99,98.6,97.4
17,Roy Hibbert,Engage,2014-03-24,Post,73,2014-03-28,4,IND,@,WAS,L (-13),1,31:58,3.0,8.0,0.375,0.0,0.0,,2.0,5.0,0.4,1.0,1.0,2.0,1.0,0.0,5.0,3.0,4.0,8.0,3.0,-1.0,69,104,88.0,102.7
18,Roy Hibbert,Engage,2014-03-24,Post,74,2014-03-30,6,IND,@,CLE,L (-14),1,23:31,2.0,9.0,0.222,0.0,0.0,,2.0,3.0,0.667,4.0,1.0,5.0,1.0,0.0,2.0,3.0,5.0,6.0,0.3,3.0,63,104,86.3,102.2
19,Roy Hibbert,Engage,2014-03-24,Post,75,2014-03-31,7,IND,,SAS,L (-26),1,33:52,5.0,13.0,0.385,0.0,0.0,,5.0,6.0,0.833,2.0,5.0,7.0,0.0,0.0,0.0,1.0,3.0,15.0,8.2,-18.0,101,126,93.3,124.8
20,Roy Hibbert,Engage,2014-03-24,Post,76,2014-04-02,9,IND,,DET,W (+7),1,29:02,4.0,10.0,0.4,0.0,0.0,,3.0,4.0,0.75,1.0,2.0,3.0,3.0,0.0,2.0,2.0,5.0,11.0,6.0,-4.0,95,110,114.0,106.1
