,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Ryan Anderson,Engage,2017-02-22,Pre,48,2017-01-23,-30,HOU,@,MIL,L (-13),1,29:05,6.0,11.0,0.545,3.0,7.0,0.429,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,16.0,10.5,10.0,125,128,111.2,123.9
1,Ryan Anderson,Engage,2017-02-22,Pre,49,2017-01-25,-28,HOU,@,BOS,L (-11),1,35:38,5.0,8.0,0.625,3.0,4.0,0.75,6.0,7.0,0.857,3.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,19.0,16.2,-19.0,144,123,107.6,118.4
2,Ryan Anderson,Engage,2017-02-22,Pre,50,2017-01-27,-26,HOU,@,PHI,W (+5),1,42:01,3.0,11.0,0.273,3.0,9.0,0.33299999999999996,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,5.0,11.0,2.4,19.0,85,114,113.3,108.7
3,Ryan Anderson,Engage,2017-02-22,Pre,51,2017-01-29,-24,HOU,@,IND,L (-19),1,35:17,9.0,16.0,0.563,5.0,9.0,0.556,4.0,5.0,0.8,1.0,6.0,7.0,0.0,1.0,0.0,0.0,2.0,27.0,21.7,-13.0,148,124,103.7,123.2
4,Ryan Anderson,Engage,2017-02-22,Pre,52,2017-01-31,-22,HOU,,SAC,W (+22),1,27:22,7.0,14.0,0.5,6.0,12.0,0.5,5.0,8.0,0.625,3.0,8.0,11.0,3.0,1.0,0.0,1.0,3.0,25.0,22.2,16.0,139,82,108.8,86.0
5,Ryan Anderson,Engage,2017-02-22,Pre,53,2017-02-02,-20,HOU,,ATL,L (-5),1,33:49,4.0,12.0,0.33299999999999996,3.0,9.0,0.33299999999999996,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,11.0,5.0,4.0,95,114,101.8,106.5
6,Ryan Anderson,Engage,2017-02-22,Pre,54,2017-02-03,-19,HOU,,CHI,W (+4),1,33:25,0.0,7.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,-7.1,8.0,10,113,112.1,108.4
7,Ryan Anderson,Engage,2017-02-22,Pre,55,2017-02-07,-15,HOU,,ORL,W (+24),1,27:47,2.0,7.0,0.28600000000000003,1.0,2.0,0.5,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,6.0,6.3,5.0,118,106,125.8,102.2
8,Ryan Anderson,Engage,2017-02-22,Pre,56,2017-02-09,-13,HOU,@,CHO,W (+12),1,34:58,5.0,11.0,0.455,2.0,6.0,0.33299999999999996,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,14.0,8.8,7.0,114,103,106.1,94.2
9,Ryan Anderson,Engage,2017-02-22,Pre,57,2017-02-11,-11,HOU,,PHO,W (+31),1,32:34,4.0,9.0,0.444,3.0,6.0,0.5,5.0,8.0,0.625,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,16.0,11.1,28.0,113,98,123.9,95.0
