,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Tristan Thompson,Baby,2016-12-12,Pre,9,2016-11-13,-29,CLE,,CHO,W (+7),1,29:41,1.0,2.0,0.5,0.0,0.0,,2.0,6.0,0.33299999999999996,3.0,9.0,12.0,0.0,0.0,2.0,0.0,1.0,4.0,7.2,-10.0,114,96,108.1,100.6
1,Tristan Thompson,Baby,2016-12-12,Pre,10,2016-11-15,-27,CLE,,TOR,W (+4),1,29:47,7.0,8.0,0.875,0.0,0.0,,1.0,1.0,1.0,3.0,8.0,11.0,0.0,0.0,1.0,1.0,2.0,15.0,15.6,8.0,161,117,122.2,118.2
2,Tristan Thompson,Baby,2016-12-12,Pre,11,2016-11-16,-26,CLE,@,IND,L (-10),1,27:33,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,0.0,3.0,9.0,12.0,3.0,0.0,1.0,0.0,5.0,2.0,5.8,0.0,128,104,95.8,106.1
3,Tristan Thompson,Baby,2016-12-12,Pre,12,2016-11-18,-24,CLE,,DET,W (+23),1,29:41,3.0,8.0,0.375,0.0,1.0,0.0,2.0,2.0,1.0,1.0,13.0,14.0,2.0,0.0,4.0,0.0,1.0,8.0,12.0,24.0,107,72,109.2,85.0
4,Tristan Thompson,Baby,2016-12-12,Pre,13,2016-11-23,-19,CLE,,POR,W (+12),1,27:21,2.0,3.0,0.667,0.0,0.0,,2.0,6.0,0.33299999999999996,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,5.6,15.0,124,130,139.3,127.1
5,Tristan Thompson,Baby,2016-12-12,Pre,14,2016-11-25,-17,CLE,,DAL,W (+38),1,28:38,4.0,5.0,0.8,0.0,0.0,,3.0,4.0,0.75,4.0,8.0,12.0,1.0,1.0,0.0,0.0,1.0,11.0,15.2,28.0,186,91,132.3,93.0
6,Tristan Thompson,Baby,2016-12-12,Pre,15,2016-11-27,-15,CLE,@,PHI,W (+4),1,36:29,5.0,8.0,0.625,0.0,0.0,,2.0,4.0,0.5,5.0,7.0,12.0,0.0,0.0,2.0,1.0,4.0,12.0,12.0,5.0,129,110,115.9,111.8
7,Tristan Thompson,Baby,2016-12-12,Pre,16,2016-11-29,-13,CLE,@,MIL,L (-17),1,30:21,3.0,6.0,0.5,0.0,0.0,,2.0,4.0,0.5,2.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,8.0,10.2,-11.0,111,111,101.4,118.4
8,Tristan Thompson,Baby,2016-12-12,Pre,17,2016-12-01,-11,CLE,,LAC,L (-19),1,34:28,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,2.0,0.5,4.0,4.0,8.0,0.0,1.0,1.0,1.0,3.0,3.0,4.4,-20.0,100,118,99.2,119.3
9,Tristan Thompson,Baby,2016-12-12,Pre,18,2016-12-02,-10,CLE,@,CHI,L (-6),1,26:54,5.0,5.0,1.0,0.0,0.0,,1.0,4.0,0.25,2.0,4.0,6.0,1.0,0.0,0.0,2.0,2.0,11.0,8.8,-11.0,121,116,108.2,114.4
10,Tristan Thompson,Baby,2016-12-12,Pre,19,2016-12-05,-7,CLE,@,TOR,W (+4),1,28:56,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,0.0,4.0,10.0,14.0,1.0,0.0,2.0,1.0,1.0,6.0,9.4,7.0,116,113,124.9,120.6
11,Tristan Thompson,Baby,2016-12-12,Pre,20,2016-12-07,-5,CLE,@,NYK,W (+32),1,34:17,0.0,5.0,0.0,0.0,0.0,,3.0,4.0,0.75,6.0,14.0,20.0,1.0,2.0,1.0,0.0,2.0,3.0,10.1,27.0,117,88,134.3,100.2
12,Tristan Thompson,Baby,2016-12-12,Pre,21,2016-12-09,-3,CLE,,MIA,W (+30),1,27:42,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,1.0,1.0,3.0,2.0,3.1,11.0,111,97,129.9,95.7
13,Tristan Thompson,Baby,2016-12-12,Pre,22,2016-12-10,-2,CLE,,CHO,W (+11),1,27:54,5.0,5.0,1.0,0.0,0.0,,3.0,6.0,0.5,4.0,8.0,12.0,0.0,1.0,0.0,3.0,3.0,13.0,12.3,8.0,126,105,121.7,110.2
14,Tristan Thompson,Baby,2016-12-12,Post,23,2016-12-13,1,CLE,,MEM,W (+17),1,30:26,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,2.0,5.0,7.0,0.0,0.0,1.0,1.0,4.0,6.0,4.0,23.0,98,93,108.3,90.4
15,Tristan Thompson,Baby,2016-12-12,Post,24,2016-12-14,2,CLE,@,MEM,L (-8),1,28:28,2.0,5.0,0.4,0.0,0.0,,3.0,6.0,0.5,4.0,7.0,11.0,0.0,1.0,0.0,0.0,1.0,7.0,8.6,-12.0,116,100,94.7,103.6
16,Tristan Thompson,Baby,2016-12-12,Post,25,2016-12-17,5,CLE,,LAL,W (+11),1,27:14,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,-2.0,119,124,129.9,117.9
17,Tristan Thompson,Baby,2016-12-12,Post,26,2016-12-20,8,CLE,@,MIL,W (+6),1,25:54,4.0,7.0,0.5710000000000001,0.0,0.0,,2.0,3.0,0.667,5.0,7.0,12.0,0.0,1.0,1.0,2.0,5.0,10.0,9.6,-3.0,117,98,113.2,107.2
18,Tristan Thompson,Baby,2016-12-12,Post,27,2016-12-21,9,CLE,,MIL,W (+11),1,26:22,2.0,6.0,0.33299999999999996,0.0,0.0,,1.0,4.0,0.25,7.0,6.0,13.0,1.0,0.0,4.0,1.0,2.0,5.0,8.8,9.0,105,101,121.9,110.1
19,Tristan Thompson,Baby,2016-12-12,Post,28,2016-12-23,11,CLE,,BRK,W (+20),1,25:50,7.0,8.0,0.875,0.0,0.0,,2.0,2.0,1.0,6.0,5.0,11.0,1.0,1.0,1.0,2.0,1.0,16.0,18.9,29.0,153,94,113.3,94.3
20,Tristan Thompson,Baby,2016-12-12,Post,29,2016-12-25,13,CLE,,GSW,W (+1),1,27:47,2.0,5.0,0.4,0.0,0.0,,4.0,6.0,0.667,6.0,2.0,8.0,0.0,1.0,0.0,0.0,2.0,8.0,9.5,-8.0,140,112,108.9,107.9
21,Tristan Thompson,Baby,2016-12-12,Post,30,2016-12-26,14,CLE,@,DET,L (-16),1,26:17,2.0,4.0,0.5,0.0,0.0,,3.0,4.0,0.75,4.0,6.0,10.0,1.0,0.0,1.0,1.0,4.0,7.0,8.0,-2.0,128,108,91.9,108.2
22,Tristan Thompson,Baby,2016-12-12,Post,31,2016-12-29,17,CLE,,BOS,W (+6),1,32:27,5.0,9.0,0.556,0.0,1.0,0.0,1.0,2.0,0.5,3.0,6.0,9.0,1.0,0.0,0.0,1.0,1.0,11.0,9.5,17.0,121,124,126.4,120.3
23,Tristan Thompson,Baby,2016-12-12,Post,32,2016-12-31,19,CLE,@,CHO,W (+12),1,29:01,4.0,5.0,0.8,0.0,0.0,,3.0,3.0,1.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,2.0,11.0,11.9,14.0,187,121,135.6,122.1
24,Tristan Thompson,Baby,2016-12-12,Post,33,2017-01-02,21,CLE,,NOP,W (+8),1,28:05,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,3.0,6.0,9.0,0.0,0.0,1.0,1.0,1.0,2.0,4.2,-17.0,98,88,93.7,85.4
25,Tristan Thompson,Baby,2016-12-12,Post,34,2017-01-04,23,CLE,,CHI,L (-12),1,32:47,1.0,5.0,0.2,0.0,0.0,,0.0,0.0,,9.0,2.0,11.0,0.0,2.0,0.0,3.0,3.0,2.0,3.6,-2.0,73,117,105.2,118.7
26,Tristan Thompson,Baby,2016-12-12,Post,35,2017-01-06,25,CLE,@,BRK,W (+8),1,30:24,3.0,3.0,1.0,0.0,0.0,,4.0,13.0,0.308,2.0,7.0,9.0,2.0,3.0,2.0,2.0,5.0,10.0,10.8,19.0,104,90,106.1,98.8
27,Tristan Thompson,Baby,2016-12-12,Post,36,2017-01-08,27,CLE,@,PHO,W (+4),1,28:15,2.0,4.0,0.5,0.0,0.0,,4.0,4.0,1.0,4.0,6.0,10.0,1.0,0.0,0.0,1.0,3.0,8.0,9.1,-6.0,153,124,127.3,123.1
28,Tristan Thompson,Baby,2016-12-12,Post,37,2017-01-10,29,CLE,@,UTA,L (-8),1,34:41,5.0,8.0,0.625,0.0,0.0,,2.0,5.0,0.4,6.0,6.0,12.0,1.0,0.0,0.0,1.0,3.0,12.0,11.7,2.0,125,108,97.9,106.4
29,Tristan Thompson,Baby,2016-12-12,Post,38,2017-01-11,30,CLE,@,POR,L (-16),1,27:31,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,0.5,5.0,5.0,10.0,2.0,0.0,1.0,3.0,2.0,9.0,9.3,-6.0,107,110,92.2,109.4
