,Name,Event,ED,Pre/Post,Rk,Date,Offset,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,ORtg,DRtg,OR_Team,DR_Team
0,Willie Green,Dead of Family,2010-12-19,Pre,11,2010-11-19,-30,NOH,,CLE,W (+7),0,22:02,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,4.4,-2.0,97,111,111.9,104.6
1,Willie Green,Dead of Family,2010-12-19,Pre,12,2010-11-21,-28,NOH,@,SAC,W (+4),0,20:40,1.0,9.0,0.111,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,2.0,1.0,0.0,3.0,3.0,2.0,-4.1,-4.0,29,79,83.3,78.9
2,Willie Green,Dead of Family,2010-12-19,Pre,13,2010-11-22,-27,NOH,@,LAC,L (-4),0,18:21,4.0,7.0,0.5710000000000001,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,3.8,4.0,114,113,106.2,110.7
3,Willie Green,Dead of Family,2010-12-19,Pre,14,2010-11-24,-25,NOH,@,UTA,L (-18),0,21:22,5.0,10.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,13.0,8.9,-19.0,108,115,95.8,115.6
4,Willie Green,Dead of Family,2010-12-19,Pre,15,2010-11-26,-23,NOH,@,POR,W (+19),0,28:49,7.0,11.0,0.636,2.0,4.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,14.3,17.0,154,98,117.6,94.6
5,Willie Green,Dead of Family,2010-12-19,Pre,16,2010-11-28,-21,NOH,,SAS,L (-14),0,24:16,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,3.4,-15.0,88,127,107.4,123.2
6,Willie Green,Dead of Family,2010-12-19,Pre,17,2010-11-29,-20,NOH,@,OKC,L (-6),0,19:00,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,6.0,2.7,-4.0,96,108,94.0,100.3
7,Willie Green,Dead of Family,2010-12-19,Pre,18,2010-12-01,-18,NOH,,CHA,W (+16),0,20:50,4.0,7.0,0.5710000000000001,1.0,1.0,1.0,1.0,2.0,0.5,2.0,3.0,5.0,2.0,0.0,1.0,3.0,0.0,10.0,7.7,12.0,97,90,106.2,87.1
8,Willie Green,Dead of Family,2010-12-19,Pre,19,2010-12-03,-16,NOH,,NYK,L (-8),0,24:12,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,-1.5,-13.0,48,112,96.2,104.5
9,Willie Green,Dead of Family,2010-12-19,Pre,20,2010-12-05,-14,NOH,@,SAS,L (-25),0,19:43,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,10.0,6.4,-1.0,119,130,94.8,123.0
10,Willie Green,Dead of Family,2010-12-19,Pre,21,2010-12-08,-11,NOH,,DET,W (+19),0,18:15,3.0,7.0,0.429,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0,4.7,2.0,94,90,108.2,86.1
11,Willie Green,Dead of Family,2010-12-19,Pre,22,2010-12-10,-9,NOH,,OKC,L (-5),0,12:59,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.9,6.0,171,116,100.8,106.3
12,Willie Green,Dead of Family,2010-12-19,Pre,23,2010-12-12,-7,NOH,@,PHI,L (-18),0,25:37,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-5.4,-15.0,0,101,76.8,96.6
13,Willie Green,Dead of Family,2010-12-19,Pre,24,2010-12-13,-6,NOH,@,MIA,L (-12),0,18:08,2.0,7.0,0.28600000000000003,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,-1.1,-4.0,59,118,102.4,117.0
14,Willie Green,Dead of Family,2010-12-19,Pre,25,2010-12-15,-4,NOH,,SAC,W (+3),0,24:59,4.0,7.0,0.5710000000000001,1.0,3.0,0.33299999999999996,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,10.0,7.1,19.0,129,105,104.4,101.1
15,Willie Green,Dead of Family,2010-12-19,Pre,26,2010-12-17,-2,NOH,,UTA,W (+29),0,14:36,1.0,7.0,0.14300000000000002,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.9,11.0,43,84,115.4,81.9
16,Willie Green,Dead of Family,2010-12-19,Pre,27,2010-12-19,0,NOH,@,DET,L (-3),0,19:46,4.0,7.0,0.5710000000000001,1.0,1.0,1.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,11.0,8.7,-4.0,142,115,108.2,111.2
17,Willie Green,Dead of Family,2010-12-19,Post,28,2010-12-31,12,NOH,@,BOS,W (+2),0,18:25,1.0,5.0,0.2,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,-7.0,98,104,98.3,95.9
18,Willie Green,Dead of Family,2010-12-19,Post,29,2011-01-01,13,NOH,@,WAS,W (+11),0,20:23,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9,-2.0,77,105,104.7,92.2
19,Willie Green,Dead of Family,2010-12-19,Post,30,2011-01-03,15,NOH,,PHI,W (+7),0,24:01,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,11.0,6.8,4.0,120,106,107.5,98.5
20,Willie Green,Dead of Family,2010-12-19,Post,31,2011-01-05,17,NOH,,GSW,L (-7),0,27:01,4.0,10.0,0.4,0.0,4.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,5.0,11.0,4.2,-3.0,98,122,112.3,119.9
21,Willie Green,Dead of Family,2010-12-19,Post,32,2011-01-07,19,NOH,@,LAL,L (-4),0,9:18,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.5,-9.0,0,127,115.0,119.8
22,Willie Green,Dead of Family,2010-12-19,Post,33,2011-01-09,21,NOH,@,DEN,W (+9),0,24:53,4.0,10.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,11.0,5.8,-2.0,107,105,110.8,100.4
23,Willie Green,Dead of Family,2010-12-19,Post,34,2011-01-12,24,NOH,,ORL,W (+3),0,17:55,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.3,1.0,118,99,97.4,94.2
24,Willie Green,Dead of Family,2010-12-19,Post,35,2011-01-14,26,NOH,@,HOU,W (+5),1,21:44,1.0,1.0,1.0,0.0,0.0,,4.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,6.0,5.4,-17.0,160,105,113.5,108.3
25,Willie Green,Dead of Family,2010-12-19,Post,36,2011-01-15,27,NOH,@,CHA,W (+7),1,25:13,4.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,2.0,1.0,8.0,2.4,-1.0,65,100,106.0,97.6
26,Willie Green,Dead of Family,2010-12-19,Post,37,2011-01-17,29,NOH,,TOR,W (+4),0,17:01,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,6.0,1.7,3.0,74,91,101.5,96.7
27,Willie Green,Dead of Family,2010-12-19,Post,38,2011-01-19,31,NOH,,MEM,W (+1),0,8:40,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.1,2.0,150,117,110.1,109.0
